;ï»¿ID;Gemeentecode;Perioden;TotaleBevolking_1;Gemeentenaam
121;8462;788;2018JJ00;14103.0;Haaren
122;8491;392;2018JJ00;159709.0;Haarlem
123;8520;393;2018JJ00;5867.0;Haarlemmerliede en Spaarnwoude
124;8549;394;2018JJ00;147282.0;Haarlemmermeer
125;8607;1655;2018JJ00;29888.0;Halderberge
126;8694;160;2018JJ00;60539.0;Hardenberg
127;8723;243;2018JJ00;46832.0;Harderwijk
128;8752;523;2018JJ00;17958.0;Hardinxveld-Giessendam
129;8781;17;2018JJ00;19860.0;Haren
130;8839;72;2018JJ00;15783.0;Harlingen
131;8926;244;2018JJ00;12154.0;Hattem
132;9042;396;2018JJ00;39146.0;Heemskerk
133;9071;397;2018JJ00;27080.0;Heemstede
134;9100;246;2018JJ00;18603.0;Heerde
135;9129;74;2018JJ00;50192.0;Heerenveen
136;9187;398;2018JJ00;55850.0;Heerhugowaard
137;9245;917;2018JJ00;86762.0;Heerlen
138;9332;1658;2018JJ00;15886.0;Heeze-Leende
139;9361;399;2018JJ00;23099.0;Heiloo
140;9448;400;2018JJ00;55760.0;Den Helder
141;9477;163;2018JJ00;35796.0;Hellendoorn
142;9506;530;2018JJ00;39992.0;Hellevoetsluis
143;9535;794;2018JJ00;90903.0;Helmond
144;9593;531;2018JJ00;30677.0;Hendrik-Ido-Ambacht
145;9651;164;2018JJ00;80593.0;Hengelo
146;9680;796;2018JJ00;153434.0;'s-Hertogenbosch
147;9738;252;2018JJ00;16462.0;Heumen
148;9767;797;2018JJ00;43723.0;Heusden
149;9825;534;2018JJ00;21812.0;Hillegom
150;9854;798;2018JJ00;15366.0;Hilvarenbeek
151;9883;402;2018JJ00;89521.0;Hilversum
152;9999;1735;2018JJ00;34930.0;Hof van Twente
153;10057;1911;2018JJ00;47681.0;Hollands Kroon
154;10231;118;2018JJ00;55677.0;Hoogeveen
155;10289;405;2018JJ00;72806.0;Hoorn
156;10347;1507;2018JJ00;42271.0;Horst aan de Maas
157;10376;321;2018JJ00;49579.0;Houten
158;10463;406;2018JJ00;41369.0;Huizen
159;10492;677;2018JJ00;27472.0;Hulst
160;10637;353;2018JJ00;34302.0;IJsselstein
161;10695;1884;2018JJ00;26625.0;Kaag en Braassem
162;10724;166;2018JJ00;53259.0;Kampen
163;10753;678;2018JJ00;12720.0;Kapelle
164;10782;537;2018JJ00;64956.0;Katwijk
165;10811;928;2018JJ00;45823.0;Kerkrade
166;10956;1598;2018JJ00;22659.0;Koggenland
167;10985;79;2018JJ00;12827.0;Kollumerland en Nieuwkruisland
168;11014;588;2018JJ00;11097.0;Korendijk
169;11043;542;2018JJ00;29306.0;Krimpen aan den IJssel
170;11072;1931;2018JJ00;55644.0;Krimpenerwaard
171;11101;1659;2018JJ00;22158.0;Laarbeek
172;11159;1685;2018JJ00;15332.0;Landerd
173;11188;882;2018JJ00;37612.0;Landgraaf
174;11217;415;2018JJ00;11435.0;Landsmeer
175;11275;416;2018JJ00;27836.0;Langedijk
176;11304;1621;2018JJ00;61155.0;Lansingerland
177;11333;417;2018JJ00;11146.0;Laren
178;11362;22;2018JJ00;19669.0;Leek
179;11420;545;2018JJ00;21030.0;Leerdam
180;11478;80;2018JJ00;122415.0;Leeuwarden
181;11536;546;2018JJ00;124306.0;Leiden
182;11565;547;2018JJ00;27197.0;Leiderdorp
183;11623;1916;2018JJ00;74947.0;Leidschendam-Voorburg
184;11652;995;2018JJ00;77389.0;Lelystad
185;11710;1640;2018JJ00;35857.0;Leudal
186;11739;327;2018JJ00;29755.0;Leusden
187;12000;733;2018JJ00;11134.0;Lingewaal
188;12029;1705;2018JJ00;46372.0;Lingewaard
189;12058;553;2018JJ00;22746.0;Lisse
190;12145;262;2018JJ00;33574.0;Lochem
191;12203;809;2018JJ00;23120.0;Loon op Zand
192;12261;331;2018JJ00;14395.0;Lopik
193;12290;24;2018JJ00;9732.0;Loppersum
194;12319;168;2018JJ00;22547.0;Losser
195;12580;263;2018JJ00;24350.0;Maasdriel
196;12609;1641;2018JJ00;23697.0;Maasgouw
197;12696;556;2018JJ00;32518.0;Maassluis
198;12725;935;2018JJ00;122723.0;Maastricht
199;12899;1663;2018JJ00;10058.0;De Marne
200;12928;25;2018JJ00;10488.0;Marum
201;12986;420;2018JJ00;44480.0;Medemblik
202;13044;938;2018JJ00;19039.0;Meerssen
203;13073;1948;2018JJ00;80148.0;Meierijstad
204;13218;119;2018JJ00;33410.0;Meppel
205;13247;687;2018JJ00;48303.0;Middelburg
206;13305;1842;2018JJ00;19338.0;Midden-Delfland
207;13334;1731;2018JJ00;33172.0;Midden-Drenthe
208;13363;1952;2018JJ00;60953.0;Midden-Groningen
