ID;GemeentecodeGM;Perioden;TotaleBevolking_1
7041;GM0777;2018JJ00;43532
7070;GM0068;2018JJ00;
7099;GM1722;2018JJ00;8671
7128;GM0778;2018JJ00;
7157;GM0070;2018JJ00;
7186;GM1921;2018JJ00;
7215;GM1940;2018JJ00;51742
7244;GM0653;2018JJ00;
7273;GM0115;2018JJ00;
7302;GM0779;2018JJ00;21517
7331;GM0236;2018JJ00;26818
7360;GM0781;2018JJ00;
7389;GM1771;2018JJ00;39252
7418;GM0906;2018JJ00;
7447;GM0782;2018JJ00;
7476;GM1652;2018JJ00;30340
7505;GM0237;2018JJ00;
7534;GM0238;2018JJ00;
7563;GM0154;2018JJ00;
7592;GM0907;2018JJ00;17052
7621;GM0689;2018JJ00;14551
7650;GM0116;2018JJ00;
7679;GM0784;2018JJ00;26313
7708;GM0511;2018JJ00;
7737;GM1924;2018JJ00;49129
7766;GM0664;2018JJ00;37636
7795;GM0785;2018JJ00;23621
7824;GM1942;2018JJ00;57337
7853;GM0156;2018JJ00;
7882;GM0512;2018JJ00;36284
7911;GM0239;2018JJ00;
7940;GM0513;2018JJ00;72700
7969;GM0693;2018JJ00;
7998;GM0365;2018JJ00;
8027;GM0157;2018JJ00;
8056;GM0786;2018JJ00;12419
8085;GM0390;2018JJ00;
8114;GM0517;2018JJ00;
8143;GM0518;2018JJ00;532561
8172;GM0787;2018JJ00;
8201;GM0519;2018JJ00;
8230;GM0240;2018JJ00;
8259;GM0241;2018JJ00;
8288;GM0014;2018JJ00;202810
8317;GM0015;2018JJ00;12143
8346;GM0912;2018JJ00;
8375;GM0913;2018JJ00;
8404;GM1729;2018JJ00;14196
8433;GM0158;2018JJ00;24291
8462;GM0788;2018JJ00;14103
8491;GM0392;2018JJ00;159709
8520;GM0393;2018JJ00;5867
8549;GM0394;2018JJ00;147282
8578;GM0914;2018JJ00;
8607;GM1655;2018JJ00;29888
8636;GM0789;2018JJ00;
8665;GM0159;2018JJ00;
8694;GM0160;2018JJ00;60539
8723;GM0243;2018JJ00;46832
8752;GM0523;2018JJ00;17958
8781;GM0017;2018JJ00;19860
8810;GM0395;2018JJ00;
8839;GM0072;2018JJ00;15783
8868;GM0318;2018JJ00;
8897;GM0161;2018JJ00;
8926;GM0244;2018JJ00;12154
8955;GM0117;2018JJ00;
8984;GM0245;2018JJ00;
9013;GM1937;2018JJ00;
9042;GM0396;2018JJ00;39146
9071;GM0397;2018JJ00;27080
9100;GM0246;2018JJ00;18603
9129;GM0074;2018JJ00;50192
9158;GM0247;2018JJ00;
9187;GM0398;2018JJ00;55850
9216;GM0526;2018JJ00;
9245;GM0917;2018JJ00;86762
9274;GM0791;2018JJ00;
9303;GM0793;2018JJ00;
9332;GM1658;2018JJ00;15886
9361;GM0399;2018JJ00;23099
9390;GM0162;2018JJ00;
9419;GM0918;2018JJ00;
9448;GM0400;2018JJ00;55760
9477;GM0163;2018JJ00;35796
9506;GM0530;2018JJ00;39992
9535;GM0794;2018JJ00;90903
9564;GM0795;2018JJ00;
9593;GM0531;2018JJ00;30677
9622;GM0248;2018JJ00;
9651;GM0164;2018JJ00;80593
9680;GM0796;2018JJ00;153434
9709;GM0251;2018JJ00;
9738;GM0252;2018JJ00;16462
9767;GM0797;2018JJ00;43723
9796;GM0920;2018JJ00;
9825;GM0534;2018JJ00;21812
9854;GM0798;2018JJ00;15366
9883;GM0402;2018JJ00;89521
9912;GM1963;2018JJ00;
